# EXTENSION	TYPE		DESCRIPTION			MIME				READ	WRITE
alc		alchemy		Alchemy				chemical/x-alchemy		1	1
prep		prep		Amber PREP			none				1	0
bs		ballstick	Ball & Stick			none				1	1
caccrt		cacao		Cacao Cartesian			none				1	1
cacint		cacaoint	Cacao Internal			none				0	1
cache		cache		CAChe MolStruct			none				0	1
ccc		ccc		CCC				none				1	0
c3d1		chem3d1		Chem3D Cartesian 1		none				1	1
c3d2		chem3d2		Chem3D Cartesian 2		none				1	1
ct		chemdraw	ChemDraw Connection Table	none				0	1
cml		cml		Chemical Markup Language	chemical/x-cml			1	1
cssr		cssr		CSD CSSR			none				0	1
box		box		Dock 3.5 Box			none				1	1
dmol		dmol		DMol3 Coordinates		none				1	1
feat		feature		Feature				none				1	1
fh		fh		Fenske-Hall Z-Matrix		none				0	1
gamin		gamessin	GAMESS Input			chemical/x-gamess-input		0	1
inp		gamessin	GAMESS Input			chemical/x-gamess-input		0	1
gam		gamessout	GAMESS Output			none				1	0
gamout		gamessout	GAMESS Output			none				1	0
gcart		gaussiancart	Gaussian Cartesian		none				0	1
gau		gaussiancart	Gaussian Input			chemical/x-gaussian-input	0	1
mm1gp		ghemical	Ghemical MM			none				1	1
qm1gp		ghemical	Ghemical QM			none				1	0
gr96A		gromos96a	GROMOS96 (A)			none				0	1
gr96N		gromos96n	GROMOS96 (nm)			none				0	1
hin		hin		HyperChem HIN			none				1	1
jin		jaguarin	Jaguar Input			none				0	1
jout		jaguarout	Jaguar Output			none				1	0
bin		oebinary	OpenEye Binary			none				1	1
mmd		mmd		MacroModel			chemical/x-macromodel-input	1	1
mmod		mmd		MacroModel			chemical/x-macromodel-input	1	1
out		mmd		MacroModel			none				1	1
dat		mmd		MacroModel			none				1	1
car		biosym		MSI Biosym/Insight II CAR	none				1	0
sdf		sdf		MDL Isis SDF			chemical/x-mdl-sdfile		1	1
sd		sdf		MDL Isis SDF			chemical/x-mdl-sdfile		1	1
mdl		sdf		MDL Molfile			chemical/x-mdl-molfile		1	1
mol		sdf		MDL Molfile			chemical/x-mdl-molfile		1	1
mopcrt		mopaccart	MOPAC Cartesian			chemical/x-mopac-input		1	1
mopout		mopacout	MOPAC Output			none				1	0
mmads		mmads		MMADS				none				1	1
mpqc		mpqc		MPQC				none				1	0
bgf		bgf		MSI BGF				none				1	1
csr		csr		MSI Quanta CSR			none				0	1
nw		nwchemin	NWChem Input			none				0	1
nwo		nwchemout	NWChem Output			none				1	0
pdb		pdb		PDB				chemical/x-pdb			1	1
ent		pdb		PDB				chemical/x-pdb			1	1
report		report		Report				none				0	1
qcin		qchemin		QChem Input			none				0	1
qcout		qchemout	QChem Output			none				1	0
smi		smi		SMILES				chemical/x-daylight-smiles	1	1
fix		fix		SMILES Fix			none				0	1
mol2		mol2		Sybyl Mol2			chemical/x-mol2			1	1
txyz		tinker		Tinker XYZ			none				0	1
txt		title		Titles				none				0	1
unixyz		unichem		UniChem XYZ			none				1	1
vmol		viewmol		ViewMol				none				1	1
xed		xed		XED				none				0	1
xyz		xyz		XYZ				chemical/x-xyz			1	1
# Not "ported" from babel yet
bmin		bmin		Batchmin Command		none				0	0
cadpac		cadpac		Cambridge CADPAC		none				0	0
charmm		charmm		CHARMm				none				0	0
fdat		fdat		CSD FDAT			none				0	0
gstat		gstat		CSD GSTAT			none				0	0
dock		dock		Dock Database			none				0	0
fract		fract		Free Form Fractional		none				0	0
m3d		m3d		M3D				none				0	0
gzmat		gaussianzmat	Gaussian Z-Matrix		none				0	0
g92		gaussian92	Gaussian 92 Output		none				0	0
g94		gaussian94	Gaussian 94 Output		none				0	0
icon		icon8		Icon 8				none				0	0
idatm		idatm		IDATM				none				0	0
mcm		macmol		MacMolecule			chemical/x-macmolecule		0	0
maccs		maccs		MDL Maccs			none				0	0
micro		microworld	Micro World			none				0	0
mdn		molden		MOLDEN				none				0	0
mm2in		mm2in		MM2 Input			none				0	0
mm2out		mm2out		MM2 Output			none				0	0
mm3		mm3		MM3				none				0	0
molin		molin		MOLIN				none				0	0
miv		molinvent	MolInventor			none				0	0
mopin		mopacint	MOPAC Internal			none				0	0
cmod		pcmodel		PC Model			none				0	0
msf		msf		MSI Quanta MSF			none				0	0
schakal		schakal		Schakal				none				0	0
shelx		shelx		ShelX				none				0	0
spar		spartan		Spartan				none				0	0
semi		spartansemi	Spartan Semi-Empirical		none				0	0
spmm		spartanmm	Spartan MM			none				0	0
# These are off of the Chemical MIME list <http://www.ch.ic.ac.uk/chemime/>
# or product webpages (e.g. WebLab ViewerPro, ChemDraw, etc.)
csf		csf		CAChe CSF			chemical/x-cache-csf		0	0
cdx		cdx		ChemDraw CDX Binary		chemical/x-cdx			0	0
cdxml		cdxml		ChemDraw XML			none				0	0
cer		cerius		MSI Cerius II			chemical/x-cerius		0	0
msi		cerius		MSI Cerius II			chemical/x-cerius		0	0
chm		chemdraw	ChemDraw			chemical/x-chemdraw		0	0
c3d		chem3d		Chem3D				chemical/x-chem3d		0	0
csml		csm		Chemical Style Markup		chemical/x-csml			0	0
csm		csm		Chemical Style Markup		chemical/x-csml			0	0
mcif		mmcif		MaroMolecular CIF		chemical/x-mmcif		0	0
cbin		cbin		CACTVS binary			chemical/x-cactvs-binary	0	0
cascii		cascii		CACTVS ascii			chemical/x-cactvs-binary	0	0
ctab		ctab		CACTVS table			chemical/x-cactvs-binary	0	0
cif		cif		Crystallographic Interchange	chemical/x-cif			0	0
cmdf		crystalmaker	CrystalMaker Data		chemical/x-cmdf			0	0
cpa		compass		COMPASS				chemical/x-compass		0	0
bsd		crossfire	Crossfire			chemical/x-crossfire		0	0
ctx		ctx		Gasteiger CTX			chemical/x-ctx			0	0
cxf		cxf		CXF				chemical/x-cxf			0	0
emb		embl		EMBL nucleotide			chemical/x-embl-dl-nucleotide	0	0
vmd		vmd		Visual Molecular Dynamics	chemical/x-vmd			0	0
sw		sw		SWISS-PROT			chemical/x-swissprot		0	0
skc		skc		MDL Isis Setch			none				0	0
tgf		tgf		MDL Isis TGF			none				0	0
